"Link","Category","ASIN","Price_Nos","Ratings_Nos","Brand_New","Product_New","Upd_Brand_Names","Glb_Ratings_Rev"
"https://www.amazon.com/dp/B09TR4Y91J","Accessories","B09TR4Y91J",28.99,4.4,"RisoPhy","Mechanical Gaming Keyboard","RisoPhy",2284
"https://www.amazon.com/dp/B09BR46F63","Gaming Keyboards","B09BR46F63",49.99,4,"RedThunder","K10 Wireless Gaming Keyboard and Mouse Combo","RedThunder",4393
"https://www.amazon.com/dp/B0CDWT3D6G","Gaming Keyboards","B0CDWT3D6G",32.99,4.6,"Redragon","Mechanical Gaming Keyboard","Redragon",1632
"https://www.amazon.com/dp/B0CM5P6MNK","Gaming Keyboards","B0CM5P6MNK",44.99,4.4,"KEMOVE","K98SE Mechanical Gaming Keyboard","KEMOVE",140
"https://www.amazon.com/dp/B016MAK38U","Gaming Keyboards","B016MAK38U",33.99,4.5,"Redragon","K552 Mechanical Gaming Keyboard","Redragon",38893
"https://www.amazon.com/dp/B0BGYMYPDB","Gaming Keyboards","B0BGYMYPDB",23.69,4.6,"DIERYA","T68SE 60% Gaming Mechanical Keyboard","DIERYA",744
"https://www.amazon.com/dp/B0CPSGSPBD","Gaming Keyboards","B0CPSGSPBD",69.89,4.7,"AULA","F87 Wireless Mechanical Keyboard","AULA",49
"https://www.amazon.com/dp/B098LG3N6R","Gaming Keyboards","B098LG3N6R",23.99,4.4,"MageGee","Portable 60% Mechanical Gaming Keyboard","MageGee",7664
"https://www.amazon.com/dp/B0C6XQQ13P","Gaming Keyboards","B0C6XQQ13P",99.99,4.4,"EPOMAKER","TH80-X Gasket Mechanical Keyboard","EPOMAKER",213
"https://www.amazon.com/dp/B0BV4BC7LV","Gaming Keyboards","B0BV4BC7LV",229.99,3.9,"Razer","BlackWidow V4 Pro Wired Mechanical Gaming Keyboard","Razer",875
"https://www.amazon.com/dp/B0D3TZCLSK","Gaming Keyboards","B0D3TZCLSK",149.99,4.5,"ARZOPA","Wireless Mechanical Gaming Keyboard","ARZOPA",37
"https://www.amazon.com/dp/B0C7KFZ5TL","Gaming Keyboards","B0C7KFZ5TL",149.99,4.5,"ASUS ROG","Strix Scope II 96 Wireless Gaming Keyboard","ASUS",334
"https://www.amazon.com/dp/B0CG7FQML2","Gaming Keyboards","B0CG7FQML2",249.99,4.1,"Razer","Huntsman V3 Pro Esports Gaming Keyboard","Razer",211
"https://www.amazon.com/dp/B0D17C3ZVJ","Gaming Keyboards","B0D17C3ZVJ",35.99,4.4,"TECKNET","RGB Gaming Keyboard","TECKNET",1786
"https://www.amazon.com/dp/B0C9ZJHQHM","Gaming Keyboards","B0C9ZJHQHM",69.99,4.6,"Womier","S-K80 75% Keyboard","Womier",403
"https://www.amazon.com/dp/B07ZGDPT4M","Gaming Keyboards","B07ZGDPT4M",40.99,4.7,"SteelSeries","Apex 3 RGB Gaming Keyboard","SteelSeries",6772
"https://www.amazon.com/dp/B00NLZUM36","Gaming Keyboards","B00NLZUM36",39.99,4.6,"Redragon","S101 Gaming Keyboard","Redragon",45757
"https://www.amazon.com/dp/B09M9HB4PV","Gaming Keyboards","B09M9HB4PV",23.99,4.2,"MageGee","75% Mechanical Gaming Keyboard","MageGee",2911
"https://www.amazon.com/dp/B09X6GJ691","Gaming Keyboards","B09X6GJ691",34.98,4.4,"Razer","Ornata V3 X Gaming Keyboard","Razer",1792
"https://www.amazon.com/dp/B09C12L49Z","Gaming Keyboards","B09C12L49Z",129.99,4.5,"Razer","Huntsman V2 Optical Gaming Keyboard","Razer",2778
"https://www.amazon.com/dp/B07TVK8WJP","Gaming Keyboards","B07TVK8WJP",29.99,4.3,"Hornet","Gaming Keyboard and Mouse and Mouse pad and Gaming Headset","Hornet",19575
"https://www.amazon.com/dp/B0BVVYW6L6","Gaming Keyboards","B0BVVYW6L6",29.59,4.6,"Womier","60% Percent Keyboard","Womier",1254
"https://www.amazon.com/dp/B0CF3VGQFL","Gaming Keyboards","B0CF3VGQFL",29.99,4.5,"Redragon","Mechanical Gaming Keyboard","Redragon",2078
"https://www.amazon.com/dp/B0BGXZF1MD","Gaming Keyboards","B0BGXZF1MD",23.69,4.6,"DIERYA","T68SE 60% Gaming Mechanical Keyboard","DIERYA",745
"https://www.amazon.com/dp/B085RMD5TP","Gaming Keyboards","B085RMD5TP",170.27,4.5,"Logitech","G915 TKL Tenkeyless Lightspeed Wireless RGB Mechanical Gaming Keyboard","Logitech G",13515
"https://www.amazon.com/dp/B0CP6BR96G","Gaming Keyboards","B0CP6BR96G",39,4.6,"Corsair","K55 CORE RGB Membrane Wired Gaming Keyboard","Corsair",11953
"https://www.amazon.com/dp/B08HR74WV4","Gaming Keyboards","B08HR74WV4",172.13,4.5,"Corsair","K100 RGB Optical-Mechanical Wired Gaming Keyboard","Corsair",4066
"https://www.amazon.com/dp/B09NCMHTSB","Gaming Keyboards","B09NCMHTSB",99.99,4.6,"Corsair","K70 RGB PRO Wired Mechanical Gaming Keyboard","Corsair",6123
"https://www.amazon.com/dp/B0BVP619Z5","Gaming Mice","B0BVP619Z5",12.99,4.3,"Rii","RM200 2.4G Wireless Mouse","Rii",129
"https://www.amazon.com/dp/B07CMS5Q6P","Gaming Mice","B07CMS5Q6P",,4.6,"Logitech","G305 LIGHTSPEED Wireless Gaming Mouse","Logitech G",30538
"https://www.amazon.com/dp/B07GBZ4Q68","Gaming Mice","B07GBZ4Q68",,4.7,"Logitech","G502 HERO High Performance Wired Gaming Mouse","Logitech G",52510
"https://www.amazon.com/dp/B094PS5RZQ","Gaming Mice","B094PS5RZQ",24.18,4.4,"Razer","DeathAdder Essential Gaming Mouse","Razer",11926
"https://www.amazon.com/dp/B09C13PZX7","Gaming Mice","B09C13PZX7",49.29,4.6,"Razer","Basilisk V3 Customizable Ergonomic Gaming Mouse","Razer",6839
