"Link","Brand","Title","Price","Rating","Global_Ratings","Category","ASIN","Price Nos","Ratings_Nos","query"
"https://www.amazon.com/dp/B09TR4Y91J","RisoPhy","RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch, Durable Abs Keycaps/Anti-Ghosting/Spill-Resistant Computer Keyboard for PC Mac Xbox Gamer : RisoPhy: Video Games","$28.99","4.4 out of 5 stars","2,284 ratings","Accessories","B09TR4Y91J",28.99,4.4,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""RisoPhy"": 
RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch, Durable Abs Keycaps/Anti-Ghosting/Spill-Resistant Computer Keyboard for PC Mac Xbox Gamer : RisoPhy: Video Games"
"https://www.amazon.com/dp/B09BR46F63","RedThunder","RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, Mechanical Feel Anti-ghosting Keyboard + 7D 3200DPI Mice for PC Gamer (Black) : RedThunder: Video Games","$49.99","4.0 out of 5 stars","4,393 ratings","Gaming Keyboards","B09BR46F63",49.99,4,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""RedThunder"": 
RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, Mechanical Feel Anti-ghosting Keyboard + 7D 3200DPI Mice for PC Gamer (Black) : RedThunder: Video Games"
"https://www.amazon.com/dp/B0CDWT3D6G","Redragon","Redragon Mechanical Gaming Keyboard, Wired Mechanical Keyboard with 94 Keys, Programmable Macro Editing, Numeric Pad, Red Switches, Compact Keyboard Mechanical for Pc Mac Ipad, Black Gray : Video Games","$32.99","4.6 out of 5 stars","1,632 ratings","Gaming Keyboards","B0CDWT3D6G",32.99,4.6,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""Redragon"": 
Redragon Mechanical Gaming Keyboard, Wired Mechanical Keyboard with 94 Keys, Programmable Macro Editing, Numeric Pad, Red Switches, Compact Keyboard Mechanical for Pc Mac Ipad, Black Gray : Video Games"
"https://www.amazon.com/dp/B0CM5P6MNK","KEMOVE","KEMOVE K98SE Mechanical Gaming Keyboard, 98 Keys LED Backlit Programmable Keyboard, 96% Wired Computer Keyboard with Double Sound Dampening Foam, Pre-lubed Red Switch : Video Games","$44.99","4.4 out of 5 stars","140 ratings","Gaming Keyboards","B0CM5P6MNK",44.99,4.4,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""KEMOVE"": 
KEMOVE K98SE Mechanical Gaming Keyboard, 98 Keys LED Backlit Programmable Keyboard, 96% Wired Computer Keyboard with Double Sound Dampening Foam, Pre-lubed Red Switch : Video Games"
"https://www.amazon.com/dp/B016MAK38U","Redragon","Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, Black) : Video Games","$33.99","4.5 out of 5 stars","38,893 ratings","Gaming Keyboards","B016MAK38U",33.99,4.5,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""Redragon"": 
Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, Black) : Video Games"
"https://www.amazon.com/dp/B0BGYMYPDB","DIERYA","DIERYA T68SE 60% Gaming Mechanical Keyboard,Ultra Compact Mini 68 Key with Blue Switches Wired Keyboard,Anti-Ghosting Keys, for Windows Laptops and PC Gamers,White : Video Games","$23.69","4.6 out of 5 stars","744 ratings","Gaming Keyboards","B0BGYMYPDB",23.69,4.6,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""DIERYA"": 
DIERYA T68SE 60% Gaming Mechanical Keyboard,Ultra Compact Mini 68 Key with Blue Switches Wired Keyboard,Anti-Ghosting Keys, for Windows Laptops and PC Gamers,White : Video Games"
"https://www.amazon.com/dp/B0CPSGSPBD","AULA","AULA F87 Wireless Mechanical Keyboard,75% TKL Custom Hot Swappable Keyboard,Gasket Mount Gaming Keyboard with PBT Keycaps,Pre-lubed Greywood Switches,2.4GHz/USB-C/BT5.0 RGB Backlit Mechanical Keyboard : Video Games","$69.89","4.7 out of 5 stars","49 ratings","Gaming Keyboards","B0CPSGSPBD",69.89,4.7,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""AULA"": 
AULA F87 Wireless Mechanical Keyboard,75% TKL Custom Hot Swappable Keyboard,Gasket Mount Gaming Keyboard with PBT Keycaps,Pre-lubed Greywood Switches,2.4GHz/USB-C/BT5.0 RGB Backlit Mechanical Keyboard : Video Games"
"https://www.amazon.com/dp/B098LG3N6R","MageGee","MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey : Video Games","$23.99","4.4 out of 5 stars","7,664 ratings","Gaming Keyboards","B098LG3N6R",23.99,4.4,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""MageGee"": 
MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey : Video Games"
"https://www.amazon.com/dp/B0C6XQQ13P","EPOMAKER","EPOMAKER TH80-X Gasket Mechanical Keyboard, 75% Layout Triple Mode Hot-swap Gaming Keyboard with 4000mAh Battery, LCD Screen, NKRO, RGB for Office/Win/Mac (White, Gateron Pro Yellow) : Video Games","$99.99","4.4 out of 5 stars","213 ratings","Gaming Keyboards","B0C6XQQ13P",99.99,4.4,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""EPOMAKER"": 
EPOMAKER TH80-X Gasket Mechanical Keyboard, 75% Layout Triple Mode Hot-swap Gaming Keyboard with 4000mAh Battery, LCD Screen, NKRO, RGB for Office/Win/Mac (White, Gateron Pro Yellow) : Video Games"
"https://www.amazon.com/dp/B0BV4BC7LV","Razer","Razer BlackWidow V4 Pro Wired Mechanical Gaming Keyboard: Yellow Switches - Linear &amp; Silent - Doubleshot ABS Keycaps - Command Dial - Programmable Macros - Chroma RGB - Magnetic Wrist Rest : Video Games","$229.99","3.9 out of 5 stars","875 ratings","Gaming Keyboards","B0BV4BC7LV",229.99,3.9,"
You will extract the brand and product name from a product description text. Follow these steps precisely:

1. First, analyze the input text carefully inside <thinking> tags:
   - Look for the brand name, typically at the start or in a specific location
   - Identify the product name, which usually follows the brand name
   - Consider different text formats and potential variations

2. Parse the text using these rules:
   - Brand is typically the first word or a capitalized name before the product description
   - Product name is the general category or specific type of item
   - Ignore additional descriptive text after the product name

3. Create the output as a Python dictionary with two keys: ""Brand"" and ""Product"".
**Output ONLY the dictionary, nothing else. Do not include any tags, explanations, or extra text.**

4. Important guidelines:
   - Be precise in extraction
   - If unsure, default to the most prominent text
   - Trim any extra whitespace
   - Do not include additional descriptors beyond the core brand and product name

Example process:
<example>
Input: ""RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch...""
<thinking>
- Brand: RisoPhy
- Product: Mechanical Gaming Keyboard
</thinking>
Output: {Brand: ""RisoPhy"", Product: ""Mechanical Gaming Keyboard""}
</example>

5. Generate the final output inside <result> tags:
<result>
{Brand: ""<extracted brand>"", Product: ""<extracted product name>""}
</result>

If no clear brand or product can be determined, return:
<result>
{Brand: ""Unknown"", Product: ""Unknown""}
</result>

Here is the text that you need to analyze associated with the given brand
""Razer"": 
Razer BlackWidow V4 Pro Wired Mechanical Gaming Keyboard: Yellow Switches - Linear &amp; Silent - Doubleshot ABS Keycaps - Command Dial - Programmable Macros - Chroma RGB - Magnetic Wrist Rest : Video Games"
